Column1,Column4,Column5
UNKNOWN,42.143528,-80.114556
UNKNOWN,41.498284,-81.759593
ALGERIA,41.520448,-81.716076
UNKNOWN,41.512713,-81.709879
UNKNOWN,42.993389,-82.426583
UNKNOWN,42.19175,-83.141611
UNKNOWN,42.240583,-83.13325
UNKNOWN,42.326972,-83.039917
UNKNOWN,42.336806,-83.012833
UNKNOWN,42.548333,-82.595
UNKNOWN,42.553361,-82.586583
UNKNOWN,42.897,-78.908647
UNKNOWN,42.902556,-78.901703
UNKNOWN,42.958667,-78.930425
UNKNOWN,42.970611,-78.945039
UNKNOWN,42.974778,-78.944761
UNKNOWN,42.986444,-78.94115
UNKNOWN,43.073667,-78.993375
UNKNOWN,43.044722,-78.890592
UNKNOWN,43.025694,-78.893231
UNKNOWN,43.04925,-79.001569
UNKNOWN,43.064389,-78.990292
UNKNOWN,43.050211,-78.91515
UNKNOWN,42.965444,-78.969678
WAHNAPITAE,41.516717,-81.716519
CLEVECO,41.626714,-81.536508
F.H. PRINCE,41.650044,-82.599894
CASE,41.796711,-82.816575
CHARLES B. HILL,41.841717,-81.066486
CLARION,41.916711,-83.166592
FRANK E. VIGOR,41.956978,-81.960975
CHESAPEAKE,42.025053,-80.566464
TASHMOO,42.091708,-83.146589
KILARNEY,42.158372,-81.243164
BRITTANIC,42.266703,-83.108253
FONTANA,42.266703,-83.108253
JAMES H. REED,42.271383,-80.799817
CITY OF ROME,42.291722,-79.699767
CITY OF DETROIT,42.400056,-79.599769
UNKNOWN,42.873389,-78.900925
UNKNOWN,42.883722,-78.916925
UNKNOWN,42.890322,-78.899492
UNKNOWN,41.495014,-81.712869
UNKNOWN,41.501994,-81.712353
UNKNOWN,41.498308,-81.71865
UNKNOWN,41.497817,-81.718547
UNKNOWN,42.000056,-80.516461
M/V MELISSA DESAGNES,42.236667,-83.131667
UNKNOWN,42.753694,-82.475139
CHARLES H. DAVIS,41.513194,-81.725045
UNKNOWN,42.129333,-80.113611
OATLAND,44.151569,-76.348
LAURA GRACE,43.292811,-77.670164
UNKNOWN,43.352167,-78.192103
JAMES H. SHRIGLEY,43.34875,-77.805806
ATLAS,43.541733,-76.581336
DELAWARE,43.221719,-79.264775
UNKNOWN,43.256644,-77.598306
UNKNOWN,43.266728,-77.583056
UNKNOWN,43.354503,-77.794175
ONTARIO,43.525067,-76.457994
YOUNG ZION,43.576717,-79.199778
UNKNOWN,44.152383,-76.347836
HARVEY J. KENDALL,44.142064,-76.366183
OATLAND,44.150094,-76.348419
UNKNOWN,42.573353,-87.761736
UNKNOWN,41.886547,-87.573933
MUSKEG0N,41.71315,-86.934639
UNKNOWN,41.704244,-86.950186
BLACK HAWK,44.699997,-86.266764
SYDNEY C MCLOUTH,44.831378,-87.815378
WESTMORELAND,44.933325,-86.100094
WALTER L. FROST,44.999992,-86.150097
SIDNEY O NEFF,45.0934,-87.580144
WILLIAM T. GRAVES,45.099986,-86.066758
PANTHER,45.566669,-85.566744
CHARLOTTE,41.722261,-86.897806
PAT HERNER,41.740872,-86.887528
UNKNOWN,41.749722,-87.449
F.W. WHEELER,41.746031,-86.865464
DAVID DOWS,41.768028,-87.391722
TACOMA,41.772444,-87.52225
SILVER SPRAY,41.807919,-87.583728
UNKNOWN,41.876697,-87.637828
DELMORE,41.886697,-87.638386
STELLA,41.900281,-87.651886
COLUMBIA,41.907531,-87.652831
UNKNOWN,41.909697,-87.658553
CARTER H HARRISON,41.921697,-87.668108
T B BANNER,41.922253,-87.668525
UNKNOWN,41.931697,-87.682
UNKNOWN,41.933364,-87.684778
UNKNOWN,41.936142,-87.6895
UNKNOWN,41.936419,-87.690056
UNKNOWN,41.936419,-87.690056
UNKNOWN,41.936558,-87.690194
UNKNOWN,41.937531,-87.690611
UNKNOWN,41.940031,-87.693389
FIRE QUEEN,41.943086,-87.694778
UNKNOWN,41.943086,-87.694778
CHICORA,42.000039,-86.616689
UNKNOWN,42.033531,-87.664556
CALUMET,42.200022,-87.716728
UNKNOWN,42.216689,-87.725061
SEABIRD,42.366689,-87.666731
WISCONSIN,42.531686,-87.7034
BURLINGTON,42.771686,-86.216708
ARGO,42.783353,-86.216708
DIPPER DREDGE 906,42.968078,-87.786592
PRINS WILLEM V,43.024736,-87.807025
UNKNOWN,43.032594,-87.910111
APPOMATTOX,43.083344,-87.86675
AMAZON OF DETROIT,43.216681,-86.250056
TOLEDO,43.383333,-87.866753
ANNA C. MINCH,43.750006,-86.466744
SELAH CHAMBERLIN,43.749994,-87.650083
WILLIAM B. DAVOCK,43.966669,-86.583417
VERNON,44.149994,-87.500078
UNKNOWN,44.497769,-88.022603
UNKNOWN,44.499158,-88.021769
ST. LAWRENCE,44.666664,-86.266761
UNKNOWN,42.07805,-87.679033
GEO. MORLEY,42.044031,-87.668225
WELLS BURT,42.045361,-87.618083
UNKNOWN,41.979167,-87.636667
UNKNOWN,41.980667,-87.63125
UNKNOWN,41.941667,-87.588333
WING OF THE WIND,41.932861,-87.557639
UNKNOWN,41.886601,-87.59876
UNKNOWN,41.851739,-87.557989
UNKNOWN,41.827222,-87.597222
UNKNOWN,41.747167,-87.528833
UNKNOWN,41.74241,-87.506469
IRENE,41.711889,-87.526236
UNKNOWN,41.698889,-87.511111
UNKNOWN,41.646167,-87.428978
UNKNOWN,41.645364,-87.427431
UNKNOWN,41.635,-87.386667
UNKNOWN,45.100461,-87.613867
UNKNOWN,44.226669,-86.304306
UNKNOWN,42.999625,-87.884528
UNKNOWN,42.997514,-87.857025
SABASTOPOL,42.988236,-87.867858
LUMBERMAN,42.8695,-87.757194
OLE,42.667278,-87.79485
UNKNOWN,42.645275,-87.791378
DREADNAUGHT,46.466008,-86.645711
UNKNOWN,46.600831,-90.878025
UNKNOWN,46.417944,-86.661267
SMITH MOORE,46.457167,-86.616436
DREDNAUGHT,46.466081,-86.645658
UNKNOWN,46.475019,-84.302814
CHARLES J. KERSHAW,46.5,-87.35
SMITH MARE,46.457011,-86.614797
SUPERIOR,46.566606,-86.666827
STORUCCA,46.683331,-85.666814
WESTON RESERVE,46.683331,-85.666667
PITZ,46.692264,-91.8584
UNKNOWN,46.733969,-92.154913
UNKNOWN,46.736189,-92.053856
UNKNOWN,46.738272,-92.094133
UNKNOWN,46.758877,-88.458742
SS ALEY NUMICK,46.766686,-85.266783
A.A. PARKER,46.766644,-85.966833
UNKNOWN,46.767519,-85.254839
UNKNOWN,46.782764,-88.481961
THOMAS WILSON,46.78355,-92.069489
UNKNOWN,46.789794,-90.850183
UNKNOWN,46.80585,-90.822072
PASADENA,47.233258,-88.666788
UNKNOWN,46.857266,-91.102103
BENJAMIN NOBLE,46.933333,-91.766667
SEVONA,47.007956,-90.90205
ALTADOC,47.399903,-87.700114
STEEL VENDER,47.408239,-87.266789
JAMES PICKANDS,47.433247,-88.283436
WILLIAM C. MORELAND,47.433249,-88.283437
BANGOR,47.466667,-88.15
R.G. COBURN,47.474903,-87.80011
S.R. KIRBY,47.466578,-88.150104
SUNBEAM,47.483233,-87.796777
ALGOMA,47.96655,-88.750078
EMPORER,48.206536,-88.500064
Q.E. PARKS,48.333206,-89.000064
ELY,47.012078,-91.678942
UNKNOWN,46.751389,-92.075
UNKNOWN,46.748914,-92.076667
UNKNOWN,46.733917,-92.154581
PRETORIA,47.088542,-90.390447
UNKNOWN,46.882431,-90.761294
UNKNOWN,46.858264,-90.780183
UNKNOWN,46.781322,-90.86185
ELY,47.011864,-91.678383
UNKNOWN,46.604458,-90.947119
UNKNOWN,46.587619,-90.904214
UNKNOWN,46.598811,-90.877081
UNKNOWN,46.723547,-90.750181
UNKNOWN,45.010889,-83.273889
UNKNOWN,42.806667,-82.481667
UNKNOWN,46.251508,-84.182867
UNKNOWN,45.987036,-83.897242
UNKNOWN,45.988908,-83.897225
UNKNOWN,45.998894,-83.825408
TWO MYRTLES,45.9993,-83.899211
ALICE C,45.999769,-83.898975
PEWABIC,45.100014,-83.216633
TWIN SCREW,45.661622,-84.435058
CHEBOYGAN POINT WREC,45.664511,-84.433086
FALSE HENRY CLAY,45.700733,-84.530011
J.H.OUTHWAITE,45.713761,-84.558372
UGANDA,45.713761,-84.558372
COAL WRECK,45.714039,-84.564956
IRON ORE WRECK,45.715539,-84.563233
BARNUM,45.745233,-84.630628
JENNE V. MERRI,45.861122,-84.566986
BRUNO,45.866686,-83.416653
UNKNOWN,46.446158,-84.268367
UNKNOWN,46.462686,-84.2862
UNKNOWN,46.462917,-84.287297
UNKNOWN,46.475575,-84.302814
UNKNOWN,46.490486,-84.310081
UNKNOWN,46.490631,-84.310875
UNKNOWN,46.491472,-84.3125
SAGAMORE,46.518,-84.632183
UNKNOWN,43.262442,-82.510422
UNKNOWN,43.262386,-82.511033
UNKNOWN,45.015306,-83.303806
MONOHANSETT,45.032792,-83.191631
SCANLON,45.034789,-83.326775
GRECIAN,44.9684,-83.199964
WILLIAM R. LINN,43.083361,-82.416581
SACRAMENTO,44.083347,-82.999947
PHILADELPHIA,44.105008,-82.683267
ALBANY,44.116675,-82.683267
WATER WITCH,44.416681,-83.316633
MARY ALICE B.,43.338358,-82.439919
UNKNOWN,45.233347,-83.329972
UNKNOWN,46.514853,-84.361094
UNKNOWN,46.489239,-84.417939
UNKNOWN,45.054817,-83.431875
UNKNOWN,45.050861,-83.435472
JOHNSON,45.025844,-83.347469
OSCAR T. FLINT,45.026,-83.347528
UNKNOWN,45.995019,-83.898336
UNKNOWN,46.388222,-84.21925
UNKNOWN,46.471131,-84.299758
UNKNOWN,46.484186,-84.292675
UNKNOWN,46.489186,-84.285033
UNKNOWN,43.925014,-83.461633
UNKNOWN,43.955014,-83.487469
UNKNOWN,44.016683,-83.649978
UNKNOWN,46.387742,-84.220058
UNKNOWN,46.432217,-84.579175
NELLIE GARDNER,44.896764,-83.3275
MONOHANSETT,45.033717,-83.200822
MONTANA,44.984083,-83.267389
UNKNOWN,45.062361,-83.392889
